date,confirmed,deaths,estimated_population
2020-04-02,1.0,0.0,238339.0
2020-04-03,2.0,0.0,238339.0
2020-04-04,2.0,0.0,238339.0
2020-04-05,2.0,0.0,238339.0
2020-04-06,4.0,0.0,238339.0
2020-04-07,5.0,0.0,238339.0
2020-04-08,5.0,0.0,238339.0
2020-04-09,5.0,0.0,238339.0
2020-04-10,7.0,1.0,238339.0
2020-04-11,10.0,1.0,238339.0
2020-04-12,10.0,1.0,238339.0
2020-04-13,10.0,1.0,238339.0
2020-04-14,11.0,2.0,238339.0
2020-04-15,27.0,2.0,238339.0
2020-04-16,32.0,2.0,238339.0
2020-04-17,39.0,2.0,238339.0
2020-04-18,44.0,2.0,238339.0
2020-04-19,44.0,2.0,238339.0
2020-04-20,49.0,2.0,238339.0
2020-04-21,51.0,2.0,238339.0
2020-04-22,51.0,2.0,238339.0
2020-04-23,52.0,3.0,238339.0
2020-04-24,49.0,3.0,238339.0
2020-04-25,49.0,3.0,238339.0
2020-04-26,49.0,3.0,238339.0
2020-04-27,48.0,3.0,238339.0
2020-04-28,56.0,3.0,238339.0
2020-04-29,57.0,3.0,238339.0
2020-04-30,72.0,3.0,238339.0
2020-05-01,72.0,3.0,238339.0
2020-05-02,72.0,3.0,238339.0
2020-05-03,73.0,3.0,238339.0
2020-05-04,74.0,3.0,238339.0
2020-05-05,83.0,3.0,238339.0
2020-05-06,87.0,4.0,238339.0
2020-05-07,98.0,4.0,238339.0
2020-05-08,102.0,4.0,238339.0
2020-05-09,104.0,4.0,238339.0
2020-05-10,107.0,4.0,238339.0
2020-05-11,111.0,4.0,238339.0
2020-05-12,112.0,4.0,238339.0
2020-05-13,113.0,4.0,238339.0
2020-05-14,122.0,4.0,238339.0
2020-05-15,128.0,4.0,238339.0
2020-05-16,132.0,4.0,238339.0
2020-05-17,141.0,4.0,238339.0
2020-05-18,141.0,4.0,238339.0
2020-05-19,144.0,4.0,238339.0
2020-05-20,152.0,4.0,238339.0
2020-05-21,160.0,4.0,238339.0
2020-05-22,168.0,4.0,238339.0
2020-05-23,182.0,4.0,238339.0
2020-05-24,188.0,4.0,238339.0
2020-05-25,190.0,4.0,238339.0
2020-05-26,190.0,4.0,238339.0
2020-05-27,198.0,4.0,238339.0
2020-05-28,211.0,4.0,238339.0
2020-05-29,217.0,4.0,238339.0
2020-05-30,232.0,4.0,238339.0
2020-05-31,233.0,4.0,238339.0
2020-06-01,234.0,4.0,238339.0
2020-06-02,246.0,4.0,238339.0
2020-06-03,266.0,4.0,238339.0
2020-06-04,296.0,4.0,238339.0
2020-06-05,327.0,5.0,238339.0
2020-06-06,346.0,5.0,238339.0
2020-06-07,365.0,5.0,238339.0
2020-06-08,398.0,5.0,238339.0
2020-06-09,402.0,5.0,238339.0
2020-06-10,438.0,5.0,238339.0
2020-06-11,468.0,6.0,238339.0
2020-06-12,497.0,6.0,238339.0
2020-06-13,521.0,6.0,238339.0
2020-06-14,554.0,6.0,238339.0
2020-06-15,568.0,6.0,238339.0
2020-06-16,575.0,7.0,238339.0
2020-06-17,575.0,7.0,238339.0
2020-06-18,577.0,7.0,238339.0
2020-06-19,680.0,8.0,238339.0
2020-06-20,696.0,8.0,238339.0
2020-06-21,721.0,8.0,238339.0
2020-06-22,741.0,8.0,238339.0
2020-06-23,748.0,10.0,238339.0
2020-06-24,777.0,10.0,238339.0
2020-06-25,810.0,10.0,238339.0
2020-06-26,847.0,11.0,238339.0
2020-06-27,875.0,11.0,238339.0
2020-06-28,919.0,11.0,238339.0
2020-06-29,942.0,11.0,238339.0
2020-06-30,951.0,11.0,238339.0
2020-07-01,984.0,11.0,238339.0
2020-07-02,1021.0,11.0,238339.0
2020-07-03,1052.0,11.0,238339.0
2020-07-04,1057.0,14.0,238339.0
2020-07-05,1088.0,14.0,238339.0
2020-07-06,1102.0,14.0,238339.0
2020-07-07,1111.0,14.0,238339.0
2020-07-08,1149.0,14.0,238339.0
2020-07-09,1160.0,14.0,238339.0
2020-07-10,1227.0,15.0,238339.0
2020-07-11,1244.0,15.0,238339.0
2020-07-12,1273.0,15.0,238339.0
2020-07-13,1272.0,15.0,238339.0
2020-07-14,1307.0,15.0,238339.0
2020-07-15,1319.0,15.0,238339.0
2020-07-16,1344.0,15.0,238339.0
2020-07-17,1357.0,15.0,238339.0
2020-07-18,1365.0,15.0,238339.0
2020-07-19,1379.0,15.0,238339.0
2020-07-20,1399.0,16.0,238339.0
2020-07-21,1421.0,15.0,238339.0
2020-07-22,1508.0,15.0,238339.0
2020-07-23,1545.0,15.0,238339.0
2020-07-24,1580.0,16.0,238339.0
2020-07-25,1616.0,16.0,238339.0
2020-07-26,1623.0,16.0,238339.0
2020-07-27,1633.0,16.0,238339.0
2020-07-28,1763.0,16.0,238339.0
2020-07-29,1814.0,16.0,238339.0
2020-07-30,1862.0,17.0,238339.0
2020-07-31,1900.0,17.0,238339.0
2020-08-01,1934.0,17.0,238339.0
2020-08-02,1956.0,17.0,238339.0
2020-08-03,1970.0,17.0,238339.0
2020-08-04,2041.0,17.0,238339.0
2020-08-05,2079.0,17.0,238339.0
2020-08-06,2174.0,18.0,238339.0
2020-08-07,2249.0,18.0,238339.0
2020-08-08,2340.0,18.0,238339.0
2020-08-09,2391.0,18.0,238339.0
2020-08-10,2397.0,19.0,238339.0
2020-08-11,2461.0,19.0,238339.0
2020-08-12,2516.0,19.0,238339.0
2020-08-13,2577.0,21.0,238339.0
2020-08-14,2651.0,21.0,238339.0
2020-08-15,2724.0,21.0,238339.0
2020-08-16,2731.0,21.0,238339.0
2020-08-17,2790.0,21.0,238339.0
2020-08-18,2819.0,22.0,238339.0
2020-08-19,2878.0,23.0,238339.0
2020-08-20,2925.0,25.0,238339.0
2020-08-21,2964.0,25.0,238339.0
2020-08-22,3006.0,25.0,238339.0
2020-08-23,3038.0,26.0,238339.0
2020-08-24,3064.0,26.0,238339.0
2020-08-25,3094.0,27.0,238339.0
2020-08-26,3154.0,28.0,238339.0
2020-08-27,3191.0,28.0,238339.0
2020-08-28,3245.0,28.0,238339.0
2020-08-29,3293.0,30.0,238339.0
2020-08-30,3293.0,30.0,238339.0
2020-08-31,3303.0,30.0,238339.0
2020-09-01,3331.0,32.0,238339.0
2020-09-02,3411.0,34.0,238339.0
2020-09-03,3462.0,34.0,238339.0
2020-09-04,3492.0,34.0,238339.0
2020-09-05,3552.0,33.0,238339.0
2020-09-06,3603.0,33.0,238339.0
2020-09-07,3654.0,33.0,238339.0
2020-09-08,3654.0,33.0,238339.0
2020-09-09,3703.0,34.0,238339.0
2020-09-10,3751.0,34.0,238339.0
2020-09-11,3794.0,35.0,238339.0
2020-09-12,3827.0,37.0,238339.0
2020-09-13,3852.0,37.0,238339.0
2020-09-14,3862.0,37.0,238339.0
2020-09-15,3910.0,39.0,238339.0
2020-09-16,3986.0,39.0,238339.0
2020-09-17,4032.0,40.0,238339.0
2020-09-18,4066.0,41.0,238339.0
2020-09-19,4104.0,41.0,238339.0
2020-09-20,4132.0,41.0,238339.0
2020-09-21,4159.0,41.0,238339.0
2020-09-22,4189.0,42.0,238339.0
2020-09-23,4222.0,44.0,238339.0
2020-09-24,4266.0,45.0,238339.0
2020-09-25,4313.0,47.0,238339.0
2020-09-26,4344.0,47.0,238339.0
2020-09-27,4363.0,47.0,238339.0
2020-09-28,4372.0,47.0,238339.0
2020-09-29,4438.0,47.0,238339.0
2020-09-30,4462.0,47.0,238339.0
2020-10-01,4544.0,47.0,238339.0
2020-10-02,4580.0,47.0,238339.0
2020-10-03,4643.0,48.0,238339.0
2020-10-04,4668.0,49.0,238339.0
2020-10-05,4668.0,49.0,238339.0
2020-10-06,4668.0,49.0,238339.0
2020-10-07,4827.0,50.0,238339.0
2020-10-08,4827.0,50.0,238339.0
2020-10-09,4882.0,51.0,238339.0
2020-10-10,4914.0,52.0,238339.0
2020-10-11,4937.0,52.0,238339.0
2020-10-12,4956.0,52.0,238339.0
2020-10-13,4964.0,52.0,238339.0
2020-10-14,5070.0,54.0,238339.0
2020-10-15,5107.0,56.0,238339.0
2020-10-16,5180.0,57.0,238339.0
2020-10-17,5180.0,57.0,238339.0
2020-10-18,5183.0,57.0,238339.0
2020-10-19,5186.0,58.0,238339.0
2020-10-20,5255.0,61.0,238339.0
2020-10-21,5288.0,62.0,238339.0
2020-10-22,5315.0,63.0,238339.0
2020-10-23,5374.0,63.0,238339.0
2020-10-24,5402.0,63.0,238339.0
2020-10-25,5440.0,63.0,238339.0
2020-10-26,5446.0,63.0,238339.0
2020-10-27,5459.0,63.0,238339.0
2020-10-28,5503.0,63.0,238339.0
2020-10-29,5539.0,63.0,238339.0
2020-10-30,5567.0,63.0,238339.0
2020-10-31,5579.0,64.0,238339.0
2020-11-01,5598.0,64.0,238339.0
2020-11-02,5598.0,64.0,238339.0
2020-11-03,5603.0,64.0,238339.0
2020-11-04,5622.0,64.0,238339.0
2020-11-05,5640.0,64.0,238339.0
2020-11-06,5780.0,64.0,238339.0
2020-11-07,5780.0,64.0,238339.0
2020-11-08,5780.0,64.0,238339.0
2020-11-09,5780.0,64.0,238339.0
2020-11-10,5780.0,64.0,238339.0
2020-11-11,5831.0,67.0,238339.0
2020-11-12,5850.0,68.0,238339.0
2020-11-13,5900.0,68.0,238339.0
2020-11-14,5939.0,74.0,238339.0
2020-11-15,5962.0,74.0,238339.0
2020-11-16,5973.0,74.0,238339.0
2020-11-17,5998.0,72.0,238339.0
2020-11-18,6065.0,73.0,238339.0
